,state,commercial_sex_act_offense,commercial_sex_act_cleared,commercial_sex_act_cleared_under_18,involuntary_servitude_offense,involuntary_servitude_cleared,involuntary_servitude_cleared_under_18,total_offenses,total_cleared,total_under_18,year
4,Alaska,11,3,0,0,0,0,11,3,0,2014
5,Arizona,15,8,0,0,0,0,15,8,0,2014
6,California,0,0,0,0,0,0,0,0,0,2014
7,Colorado,11,0,0,2,0,0,13,0,0,2014
8,Delaware,0,0,0,0,0,0,0,0,0,2014
9,Florida,57,44,0,3,3,0,60,47,0,2014
10,Guam,0,0,0,0,0,0,0,0,0,2014
11,Hawaii,0,0,0,0,0,0,0,0,0,2014
12,Idaho,0,0,0,0,0,0,0,0,0,2014
13,Illinois,50,0,0,17,0,0,67,0,0,2014
14,Indiana,0,0,0,0,0,0,0,0,0,2014
15,Kansas,1,1,0,0,0,0,1,1,0,2014
16,Massachusetts,6,4,0,1,0,0,7,4,0,2014
17,Michigan,2,2,0,1,0,0,3,2,0,2014
18,Minnesota,22,5,0,1,1,0,23,6,0,2014
19,Missouri,5,2,1,1,0,0,6,2,1,2014
20,Mississippi,0,0,0,0,0,0,2,1,0,2014
21,Montana,1,0,0,0,0,0,1,0,0,2014
22,Nevada,0,0,0,0,0,0,0,0,0,2014
23,Ohio,0,0,0,0,0,0,0,0,0,2014
24,Oklahoma,10,7,0,0,0,0,10,7,0,2014
25,Oregon,0,0,0,0,0,0,0,0,0,2014
26,South Dakota,0,0,0,0,0,0,0,0,0,2014
27,Tennessee,29,0,0,1,0,0,30,0,0,2014
28,Texas,78,22,5,113,17,3,191,39,8,2014
29,Utah,0,0,0,0,0,0,0,0,0,2014
30,U. S. Virgin Islands,0,0,0,0,0,0,0,0,0,2014
31,Washington,2,0,0,0,0,0,2,0,0,2014
32,Wyoming,0,0,0,1,0,0,1,0,0,2014
