,state,commercial_sex_act_offense,commercial_sex_act_cleared,commercial_sex_act_cleared_under_18,involuntary_servitude_offense,involuntary_servitude_cleared,involuntary_servitude_cleared_under_18,total_offenses,total_cleared,total_under_18,year
4,Alaska,11,3,0,0,0,0,11,3,0,2014
5,Arizona,15,8,0,0,0,0,15,8,0,2014
6,California,0,0,0,0,0,0,0,0,0,2014
7,Colorado,11,0,0,2,0,0,13,0,0,2014
8,Delaware,0,0,0,0,0,0,0,0,0,2014
9,Florida,57,44,0,3,3,0,60,47,0,2014
10,Guam,0,0,0,0,0,0,0,0,0,2014
11,Hawaii,0,0,0,0,0,0,0,0,0,2014
12,Idaho,0,0,0,0,0,0,0,0,0,2014
13,Illinois,50,0,0,17,0,0,67,0,0,2014
14,Indiana,0,0,0,0,0,0,0,0,0,2014
15,Kansas,1,1,0,0,0,0,1,1,0,2014
16,Massachusetts,6,4,0,1,0,0,7,4,0,2014
17,Michigan,2,2,0,1,0,0,3,2,0,2014
18,Minnesota,22,5,0,1,1,0,23,6,0,2014
19,Missouri,5,2,1,1,0,0,6,2,1,2014
20,Mississippi,0,0,0,0,0,0,2,1,0,2014
21,Montana,1,0,0,0,0,0,1,0,0,2014
22,Nevada,0,0,0,0,0,0,0,0,0,2014
23,Ohio,0,0,0,0,0,0,0,0,0,2014
24,Oklahoma,10,7,0,0,0,0,10,7,0,2014
25,Oregon,0,0,0,0,0,0,0,0,0,2014
26,South Dakota,0,0,0,0,0,0,0,0,0,2014
27,Tennessee,29,0,0,1,0,0,30,0,0,2014
28,Texas,78,22,5,113,17,3,191,39,8,2014
29,Utah,0,0,0,0,0,0,0,0,0,2014
30,U. S. Virgin Islands,0,0,0,0,0,0,0,0,0,2014
31,Washington,2,0,0,0,0,0,2,0,0,2014
32,Wyoming,0,0,0,1,0,0,1,0,0,2014
4,Alaska,10,1,0,0,0,0,10,1,0,2015
5,Arizona,5,6,0,1,0,0,6,6,0,2015
6,Arkansas,5,2,0,0,0,0,5,2,0,2015
7,Colorado,11,5,0,6,2,0,17,7,0,2015
8,Connecticut,0,0,0,0,0,0,0,0,0,2015
9,Delaware,0,0,0,0,0,0,0,0,0,2015
10,Florida,44,23,0,2,0,0,46,23,0,2015
11,Guam,0,0,0,0,0,0,0,0,0,2015
12,Hawaii,3,0,0,0,0,0,3,0,0,2015
13,Idaho,0,0,0,0,0,0,0,0,0,2015
14,Illinois,53,0,0,8,0,0,61,0,0,2015
15,Indiana,0,0,0,0,0,0,0,0,0,2015
16,Kansas,0,0,0,0,0,0,0,0,0,2015
17,Louisiana,51,41,1,0,0,0,51,41,1,2015
18,Maine,0,0,0,0,0,0,0,0,0,2015
19,Maryland,27,22,0,1,1,0,28,23,0,2015
20,Massachusetts,0,0,0,2,1,0,2,1,0,2015
21,Michigan,3,3,0,0,0,0,3,3,0,2015
22,Minnesota,119,77,0,0,0,0,119,77,0,2015
23,Mississippi,0,0,0,0,0,0,0,0,0,2015
24,Missouri,13,5,0,0,0,0,13,5,0,2015
25,Montana,0,0,0,0,0,0,0,0,0,2015
26,Nebraska,0,0,0,0,0,0,0,0,0,2015
27,Nevada,214,49,1,2,0,0,216,49,1,2015
28,New York,0,0,0,0,0,0,0,0,0,2015
29,North Carolina,0,0,0,0,0,0,0,0,0,2015
30,Ohio,3,2,0,0,0,0,3,2,0,2015
31,Oklahoma,38,27,1,2,1,0,40,28,1,2015
32,Oregon,0,0,0,0,0,0,0,0,0,2015
33,Puerto Rico,0,0,0,0,0,0,2,0,0,2015
34,Rhode Island,0,0,0,0,0,0,0,0,0,2015
35,South Carolina,10,5,0,4,0,0,14,5,0,2015
36,South Dakota,0,0,0,0,0,0,0,0,0,2015
37,Tennessee,32,10,0,3,1,0,35,11,0,2015
38,Texas,98,30,0,187,71,0,285,101,0,2015
39,U. S. Virgin Islands,0,0,0,0,0,0,0,0,0,2015
40,Utah,0,0,0,0,0,0,0,0,0,2015
41,Washington,1,0,0,0,0,0,1,0,0,2015
